Date,Weekday,Name,Type
2023-01-11,Wednesday,Prithvi Jayanti,Public Holiday
2023-01-15,Sunday,Maghe Sankranti,Public Holiday
2023-01-16,Monday,National Day of Mourning,Public Holiday
2023-01-22,Sunday,Sonam Losar (Tamang New Year),Optional Holiday
2023-01-26,Thursday,Basant Panchami,Academic Holiday
2023-02-13,Monday,People's War Day,Public Holiday
2023-02-18,Saturday,Maha Shivaratri,Public Holiday
2023-02-19,Sunday,National Democracy Day,Public Holiday
2023-02-21,Tuesday,Gyalpo Losar,Optional Holiday
2023-03-06,Monday,Holi Purnima (Hill region),Local Holiday
2023-03-07,Tuesday,Holi Purnima (Terai region),Local Holiday
2023-03-08,Wednesday,Nari Dibas,Public Holiday
2023-03-21,Tuesday,Godhe Yatra,Local Holiday
2023-03-21,Tuesday,March Equinox,Season
2023-03-30,Thursday,Ram Nawami,Observance
2023-04-14,Friday,Nepali New Year,Public Holiday
2023-04-22,Saturday,Ramjan Edul Fikra,Optional Holiday
2023-05-01,Monday,Majdoor Divas,Public Holiday
2023-05-05,Friday,Buddha Jayanti,Public Holiday
2023-05-05,Friday,Ubhauli Parva,Optional Holiday
2023-05-29,Monday,Ganatantra Diwas (Republic Day),Public Holiday
2023-06-21,Wednesday,June Solstice,Season
2023-06-29,Thursday,Edul Aajaha,Optional Holiday
2023-08-30,Wednesday,Janai Purnima,Public Holiday
2023-09-01,Friday,Gai Jatra,Local Holiday
2023-09-06,Wednesday,Gaura Parba,Optional Holiday
2023-09-06,Wednesday,Shree Krishna Janamashtami,Public Holiday
2023-09-14,Thursday,National Mourning Day,Public Holiday
2023-09-18,Monday,Hartalika Teej,Optional Holiday
2023-09-19,Tuesday,Constitution Day,Public Holiday
2023-09-23,Saturday,September Equinox,Season
2023-09-28,Thursday,Indra Jatra,Local Holiday
2023-10-07,Saturday,Jitiya Parwa,Optional Holiday
2023-10-15,Sunday,Ghatasthapana,Public Holiday
2023-10-21,Saturday,Phulpati (Dashain),Public Holiday
2023-10-22,Sunday,Astami (Dashain),Public Holiday
2023-10-23,Monday,Nawami (Dashain),Public Holiday
2023-10-24,Tuesday,Dashami (Dashain),Public Holiday
2023-10-25,Wednesday,Ekadashi (Dashain),Public Holiday
2023-11-11,Saturday,Phalgunanda Jayanti,Optional Holiday
2023-11-12,Sunday,Laxmi Puja (Tihar),Public Holiday
2023-11-14,Tuesday,Gobhardan Pujan (Tihar),Public Holiday
2023-11-15,Wednesday,Bhai Tika (Tihar),Public Holiday
2023-11-19,Sunday,Chhat Parwa,Public Holiday
2023-11-27,Monday,Guru Nanak Jayanti,Optional Holiday
2023-12-03,Sunday,International Day of Disabled Persons,Optional Holiday
2023-12-22,Friday,December Solstice,Season
2023-12-25,Monday,Christmas Day,Optional Holiday
2023-12-26,Tuesday,Udhauli Parva,Optional Holiday
2023-12-30,Saturday,Tamu Lhosar,Optional Holiday
